Instructor ID,Course ID,Semester,Year,Broader,Level,Size,Layout,L,Ind,CG,WG,OG,S_Anq,SQ,WC,PRD,SP,TQ,S_W,S_O,Lec,RTW,FUP,T_PQ,CQ,T_ANQ,MG,ONE_O_ONE,DV,ADMIN,T_W,T_O,Cluster,Bcluster
391,522,pre,NA,Biological,200,Medium,Fixed,95.8,0,45.8,0,12.5,62.5,8.3,0,0,0,0,4.2,0,41.7,0,66.7,70.8,54.2,8.3,0,0,0,4.2,20.8,8.3,4,Transitioning
391,522,pre,NA,Biological,200,Medium,Fixed,84,0,36,0,20,40,4,8,0,0,0,4,8,40,0,56,36,36,8,0,4,0,4,12,12,4,Transitioning
391,522,pre,NA,Biological,200,Medium,Fixed,86.4,0,36.4,0,13.6,31.8,9.1,0,0,0,0,4.5,0,54.6,0,40.9,40.9,36.4,18.2,0,0,0,0,40.9,4.6,4,Transitioning
391,522,pre,NA,Biological,200,Medium,Fixed,86.7,0,33.3,0,0,40,0,0,0,0,0,6.7,6.7,53.3,0,40,46.7,33.3,0,0,0,6.7,26.7,33.3,6.7,2,Mostly lecture
391,522,pre,NA,Biological,200,Medium,Fixed,88.9,0,27.8,0,33.3,38.9,16.7,0,0,0,0,0,0,61.1,0,38.9,38.9,27.8,27.8,0,0,0,5.6,44.4,0,4,Transitioning
391,522,pre,NA,Biological,200,Medium,Fixed,100,10,30,0,10,30,0,0,5,0,0,0,0,40,0,70,30,45,0,0,0,5,5,55,0,4,Transitioning
391,523,post,NA,Biological,200,Medium,Fixed,95.5,9.1,36.4,0,18.2,31.8,0,0,0,0,0,4.5,0,59.1,4.6,59.1,36.4,40.9,0,4.6,9.1,18.2,4.6,50,4.6,4,Transitioning
391,523,post,NA,Biological,200,Medium,Fixed,100,0,31.6,0,21.1,36.8,10.5,0,0,0,0,0,0,52.6,0,52.6,36.8,31.6,15.8,0,5.3,15.8,5.3,42.1,0,4,Transitioning
391,523,post,NA,Biological,200,Medium,Fixed,88,8,48,0,32,20,8,0,8,0,0,4,4,32,0,68,28,56,12,44,24,0,4,52,4,7,High engagement
393,524,pre,NA,Biological,100,Large,Fixed,100,0,36,0,0,8,0,0,0,0,0,0,0,76,0,32,4,36,0,0,0,0,0,36,0,2,Mostly lecture
393,524,pre,NA,Biological,100,Large,Fixed,96,28,8,0,0,32,0,0,0,0,0,0,0,60,0,48,32,32,0,0,4,12,20,32,0,4,Transitioning
393,524,pre,NA,Biological,100,Large,Fixed,96.2,0,50,0,0,34.6,3.8,0,0,0,30.8,0,0,57.7,42.3,50,34.6,50,3.9,0,3.9,26.9,0,50,0,4,Transitioning
393,524,pre,NA,Biological,100,Large,Fixed,95.8,0,41.7,0,4.2,20.8,20.8,0,0,0,0,4.2,0,25,0,83.3,20.8,41.7,16.7,16.7,8.3,0,0,45.8,8.3,4,Transitioning
393,525,post,NA,Biological,100,Large,Fixed,96,0,24,0,0,4,0,0,0,0,0,0,0,80,0,24,4,24,0,16,0,0,12,24,0,2,Mostly lecture
393,525,post,NA,Biological,100,Large,Fixed,100,0,64,0,4,24,4,0,0,0,0,0,0,52,0,64,28,64,4,32,0,0,0,64,0,4,Transitioning
393,525,post,NA,Biological,100,Large,Fixed,96,0,72,0,0,16,0,0,0,0,0,0,0,64,0,56,28,68,0,40,4,0,4,68,0,4,Transitioning
396,526,pre,NA,Biological,100,Large,Fixed,100,0,21.4,0,0,14.3,3.6,0,0,0,0,7.1,0,60.7,0,28.6,10.7,25,7.1,14.3,0,0,14.3,17.9,3.6,2,Mostly lecture
396,526,pre,NA,Biological,100,Large,Fixed,100,0,11.1,0,0,25.9,3.7,0,0,0,33.3,0,0,55.6,0,40.7,25.9,33.3,3.7,0,0,11.1,14.8,33.3,0,2,Mostly lecture
396,526,pre,NA,Biological,100,Large,Fixed,100,0,33.3,0,0,8.3,12.5,0,0,0,0,8.3,0,50,0,37.5,8.3,45.8,8.3,16.7,4.2,0,25,8.3,0,4,Transitioning
396,526,pre,NA,Biological,100,Large,Fixed,100,0,25,0,0,20.8,4.2,0,0,0,0,0,0,91.7,87.5,8.3,29.2,25,4.2,0,0,4.2,8.3,25,0,2,Mostly lecture
396,526,pre,NA,Biological,100,Large,Fixed,100,0,14.3,0,0,7.1,0,0,0,0,0,0,0,71.4,71.4,0,14.3,14.3,0,0,0,0,21.4,14.3,0,2,Mostly lecture
396,526,pre,NA,Biological,100,Large,Fixed,100,0,38.5,0,7.7,7.7,0,0,0,0,0,0,0,69.2,96.2,30.8,7.7,38.5,0,0,0,0,7.7,42.3,0,4,Transitioning
396,527,post,NA,Biological,100,Large,Fixed,100,44,16,0,0,4,0,0,0,0,0,4,0,48,0,72,4,56,0,0,0,0,4,56,4,2,Mostly lecture
