deid,subject,final_grade_percent,final_grade_letter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,age,gender
101380,biol,87.901,B,4,4,4,5,4,4,4,4,5,5,18,Female
100714,biol,84.94,B,4,4,4,4,4,NA,4,4,4,4,21,Female
9814204,chem,74.45,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
100303,biol,64,D,3,4,3,3,3,3,2,4,4,3,21,Male
9681212,math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9354908,biol,81.1,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
101327,biol,85.099,B,4,3,2,3,2,3,3,3,4,4,20,Female
101221,biol,91,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9867425,csci,95.5,A,3,3,3,4,4,2,3,NA,5,4,18,Male
9474219,phys,76.6,C,5,4,4,3,5,5,4,NA,4,4,18,Male
100455,biol,94.45063,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9825351,phys,67.59,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9686324,biol,68.89,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
103248,biol,87.42335,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102149,biol,87.23,B,5,5,5,5,5,5,5,5,5,5,19,Female
103292,biol,82.64829,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9693356,biol,93.56,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
9621425,biol,94.03,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9777551,biol,96.76,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Female
9722657,phys,70.33,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9469374,phys,64.84,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
100068,biol,92,A,5,5,5,4,4,4,5,5,5,5,22,Male
102078,biol,89.37,B,3,4,4,3,4,4,4,3,4,3,20,Female
102835,biol,92.53951,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9456549,eeb,94.6,A,4,4,4,4,5,4,3,NA,3,5,20,Male
9706631,csci,39.58,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9784961,chem,94.37,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9753277,biol,88.72,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
9600692,biol,82.89,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
102940,biol,94.59571,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9474814,csci,96.07,A,5,4,4,4,4,4,4,NA,4,4,NA,Male
9497182,biol,72.68,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
102753,biol,87.09667,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
9808686,phys,40.26,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9608251,biol,80.88,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9702684,csci,47.61,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
102538,biol,86.93,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9566686,phys,95.02,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9809119,biol,81.43,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,Male
9574343,biol,93.86,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Male
9147386,biol,76.69,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
101356,biol,73.956,C,5,5,3,3,4,5,3,3,4,3,19,Male
102943,biol,87.3808,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
